Muhammed MacIntyre;Nunavut;Office Supplies;Eldon Base for stackable storage shelf, platinum
Barry French;Nunavut;Office Supplies;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Barry French;Nunavut;Office Supplies;Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl
Clay Rozendal;Nunavut;Technology;R380
Carlos Soltero;Nunavut;Office Supplies;Holmes HEPA Air Purifier
Carlos Soltero;Nunavut;Furniture;G.E. Longer-Life Indoor Recessed Floodlight Bulbs
Carl Jackson;Nunavut;Office Supplies;Angle-D Binders with Locking Rings, Label Holders
Carl Jackson;Nunavut;Office Supplies;SAFCO Mobile Desk Side File, Wire Frame
Monica Federle;Nunavut;Office Supplies;SAFCO Commercial Wire Shelving, Black
Dorothy Badders;Nunavut;Office Supplies;Xerox 198
Neola Schneider;Nunavut;Office Supplies;Xerox 1980
Neola Schneider;Nunavut;Office Supplies;Advantus Map Pennant Flags and Round Head Tacks
Carlos Daly;Nunavut;Office Supplies;Holmes HEPA Air Purifier
Carlos Daly;Nunavut;Technology;DS/HD IBM Formatted Diskettes, 200/Pack - Staples
Claudia Miner;Nunavut;Office Supplies;"Wilson Jones 1"" Hanging DublLock® Ring Binders"
Neola Schneider;Nunavut;Furniture;Ultra Commercial Grade Dual Valve Door Closer
Allen Rosenblatt;Nunavut;Office Supplies;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
Sylvia Foulston;Nunavut;Furniture;Hon 4-Shelf Metal Bookcases
Sylvia Foulston;Nunavut;Furniture;Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table
Jim Radford;Nunavut;Technology;g520
Jim Radford;Nunavut;Technology;LX 788
Carlos Soltero;Nunavut;Office Supplies;Avery 52
Carlos Soltero;Nunavut;Office Supplies;Plymouth Boxed Rubber Bands by Plymouth
Carl Ludwig;Nunavut;Office Supplies;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
Carl Ludwig;Nunavut;Technology;"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack"
Don Miller;Nunavut;Office Supplies;Newell 335
